maior_componente_tamanho,maior_componente_fracao_original,numero_componentes,distancia_media_maior_componente,diametro_maior_componente,vertices_isolados,fracao_isolados_restantes,experimento,tipo_remocao,vertices_removidos
149,0.9490445859872612,1,2.5906947215672047,7,0,0.0,1,aleatoria,"141,271,270,175,252,237,264,284"
149,0.9490445859872612,1,2.58371122800653,7,0,0.0,2,aleatoria,"309,181,295,240,273,84,283,186"
149,0.9490445859872612,1,2.603210593143479,7,0,0.0,3,aleatoria,"141,240,166,298,316,178,250,219"
148,0.9426751592356688,2,2.521879021879022,5,1,0.006711409395973154,4,aleatoria,"270,187,101,315,129,249,272,233"
148,0.9426751592356688,2,2.5420113991542563,7,1,0.006711409395973154,5,aleatoria,"66,182,190,252,230,55,133,65"
147,0.9363057324840764,3,2.58549995340602,7,2,0.013422818791946308,6,aleatoria,"312,237,309,117,54,224,289,307"
149,0.9490445859872612,1,2.5874297115907856,7,0,0.0,7,aleatoria,"277,65,299,289,276,91,198,95"
149,0.9490445859872612,1,2.558135316524578,6,0,0.0,8,aleatoria,"195,309,260,278,224,136,296,129"
34,0.21656050955414013,102,2.46524064171123,5,100,0.6711409395973155,9,aleatoria,"134,103,250,213,247,182,102,221"
149,0.9490445859872612,1,2.600489751496463,7,0,0.0,10,aleatoria,"215,190,271,269,297,91,110,283"
149,0.9490445859872612,1,2.558135316524578,6,0,0.0,11,aleatoria,"251,314,195,257,278,213,295,101"
149,0.9490445859872612,1,2.5922365318338474,7,0,0.0,12,aleatoria,"186,225,281,181,253,258,166,259"
149,0.9490445859872612,1,2.6024850353709414,7,0,0.0,13,aleatoria,"278,309,221,273,259,159,241,188"
149,0.9490445859872612,1,2.604661708688554,7,0,0.0,14,aleatoria,"68,213,65,277,297,237,193,265"
149,0.9490445859872612,1,2.607473245057138,7,0,0.0,15,aleatoria,"193,303,110,233,194,84,155,287"
149,0.9490445859872612,1,2.59214583711228,7,0,0.0,16,aleatoria,"217,182,122,294,121,232,297,219"
149,0.9490445859872612,1,2.574278976963541,7,0,0.0,17,aleatoria,"314,296,221,56,124,134,278,194"
149,0.9490445859872612,1,2.5995828042807907,7,0,0.0,18,aleatoria,"193,178,165,185,254,158,299,256"
149,0.9490445859872612,1,2.6255214946490115,7,0,0.0,19,aleatoria,"178,224,110,241,220,65,222,230"
36,0.22929936305732485,101,2.5253968253968253,5,99,0.6644295302013423,20,aleatoria,"218,178,294,298,264,117,102,263"
149,0.9490445859872612,1,2.5382731725013605,6,0,0.0,21,aleatoria,"286,195,180,311,272,105,225,186"
148,0.9426751592356688,2,2.525464239749954,5,1,0.006711409395973154,22,aleatoria,"104,187,310,253,176,288,230,218"
149,0.9490445859872612,1,2.5747324505713767,7,0,0.0,23,aleatoria,"285,186,313,222,100,244,188,271"
143,0.910828025477707,3,2.438097114153452,5,1,0.006711409395973154,24,aleatoria,"89,200,104,256,117,75,249,294"
149,0.9490445859872612,1,2.580264828586976,7,0,0.0,25,aleatoria,"215,297,55,176,94,258,244,74"
149,0.9490445859872612,1,2.603210593143479,7,0,0.0,26,aleatoria,"194,188,314,222,305,178,237,145"
149,0.9490445859872612,1,2.5546889171050244,6,0,0.0,27,aleatoria,"307,94,308,313,270,195,175,274"
143,0.910828025477707,7,2.5923372402245644,8,6,0.040268456375838924,28,aleatoria,"82,309,303,110,67,68,200,183"
149,0.9490445859872612,1,2.6009432251042988,7,0,0.0,29,aleatoria,"192,255,285,244,135,278,68,155"
149,0.9490445859872612,1,2.600036277888627,7,0,0.0,30,aleatoria,"311,288,206,82,254,189,230,191"
149,0.9490445859872612,1,2.597043352076909,7,0,0.0,31,aleatoria,"288,260,206,266,271,66,240,193"
149,0.9490445859872612,1,2.59214583711228,7,0,0.0,32,aleatoria,"225,246,285,104,252,218,65,251"
149,0.9490445859872612,1,2.576546345002721,7,0,0.0,33,aleatoria,"257,155,256,94,166,81,223,129"
35,0.2229299363057325,102,2.563025210084034,5,100,0.6711409395973155,34,aleatoria,"281,238,278,228,233,296,74,102"
142,0.9044585987261147,8,2.5478973129557487,8,7,0.04697986577181208,35,aleatoria,"278,288,182,299,133,67,279,121"
149,0.9490445859872612,1,2.6033919825866136,7,0,0.0,36,aleatoria,"246,310,213,279,220,124,269,217"
149,0.9490445859872612,1,2.580990386359514,7,0,0.0,37,aleatoria,"308,263,290,94,264,281,183,260"
149,0.9490445859872612,1,2.5995828042807907,7,0,0.0,38,aleatoria,"100,178,256,229,181,191,280,237"
149,0.9490445859872612,1,2.5659350625793578,6,0,0.0,39,aleatoria,"181,249,269,222,185,288,206,195"
146,0.9299363057324841,4,2.571752479924421,7,3,0.020134228187919462,40,aleatoria,"54,294,316,222,297,55,289,234"
141,0.8980891719745223,5,2.43161094224924,5,3,0.020134228187919462,41,aleatoria,"108,68,200,65,292,89,189,64"
146,0.9299363057324841,4,2.601889466225791,7,3,0.020134228187919462,42,aleatoria,"287,68,309,276,176,307,272,54"
149,0.9490445859872612,1,2.5932341737710867,7,0,0.0,43,aleatoria,"310,279,165,218,235,240,199,75"
149,0.9490445859872612,1,2.5861599854888446,7,0,0.0,44,aleatoria,"179,82,65,189,140,194,103,256"
36,0.22929936305732485,102,2.5253968253968253,5,100,0.6711409395973155,45,aleatoria,"268,75,270,102,166,253,104,256"
140,0.89171974522293,10,2.5896197327852004,8,9,0.06040268456375839,46,aleatoria,"260,288,54,266,67,228,274,305"
149,0.9490445859872612,1,2.5862506802104117,7,0,0.0,47,aleatoria,"135,136,230,95,158,303,217,103"
149,0.9490445859872612,1,2.603210593143479,7,0,0.0,48,aleatoria,"315,145,252,266,268,178,224,258"
149,0.9490445859872612,1,2.6006711409395975,7,0,0.0,49,aleatoria,"255,75,237,217,206,117,181,282"
149,0.9490445859872612,1,2.598857246508253,7,0,0.0,50,aleatoria,"100,110,196,247,136,135,91,66"
